aisle,department,sku,cartons_received,cartons_filled,minutes_taken,shift
18,Dairy,SKU793619,13,11,45,Sat
7,Grocery,SKU326790,15,13,15,Sun
8,Grocery,SKU234711,31,30,51,Tue
11,Frozen,SKU504700,35,35,10,Wed
7,Produce,SKU764359,29,27,42,Tue
3,Dairy,SKU633933,35,34,22,Wed
16,Produce,SKU399061,7,7,54,Tue
10,Dairy,SKU661339,37,36,51,Mon
4,Frozen,SKU909858,10,10,51,Sun
9,Grocery,SKU852277,28,28,23,Sun
5,Bakery,SKU337743,31,29,25,Tue
18,Dairy,SKU781287,14,14,41,Thu
3,Frozen,SKU847040,24,22,12,Wed
5,Health & Beauty,SKU340133,26,26,,Fri
5,Dairy,SKU290013,30,30,48,Mon
7,Bakery,SKU405344,10,10,24,Fri
13,Dairy,SKU174549,8,7,28,Sun
17,Bakery,SKU375540,25,23,38,Sat
18,Frozen,SKU844245,12,12,54,Tue
4,Frozen,SKU374647,24,24,11,Tue
10,Bakery,SKU180308,22,21,10,Mon
4,Bakery,SKU763782,13,11,14,Thu
16,Frozen,SKU144480,19,19,36,Thu
16,Dairy,SKU678942,30,29,24,Mon
11,Produce,SKU321839,31,29,53,Fri
1,Bakery,SKU524205,38,37,18,Sun
18,Grocery,SKU392165,10,10,13,Sat
18,Bakery,SKU716591,10,9,42,Wed
13,Dairy,SKU221579,37,37,48,Wed
12,Grocery,SKU872905,20,20,12,Wed
11,Produce,SKU301817,39,38,10,Thu
6,Dairy,SKU948073,38,37,40,Sun
3,Frozen,SKU589046,28,28,9,Sun
10,Health & Beauty,SKU586366,20,19,44,Thu
15,Grocery,SKU142881,15,15,40,Thu
18,Frozen,SKU495468,38,38,21,Tue
11,Frozen,SKU977641,21,21,15,Mon
7,Grocery,SKU584096,21,21,31,Sun
11,Health & Beauty,SKU562224,13,12,,Mon
15,Frozen,SKU950021,29,29,29,Mon
14,Frozen,SKU187425,34,34,33,Sun
6,Produce,SKU753353,6,4,24,Sun
15,Health & Beauty,SKU234172,20,19,49,Fri
4,Grocery,SKU311354,11,10,12,Sat
10,Grocery,SKU720369,18,18,13,Fri
15,Produce,SKU697504,28,26,44,Wed
17,Dairy,SKU920761,13,13,53,Thu
15,Bakery,SKU316803,7,6,53,Thu
16,Produce,SKU176286,36,36,9,Mon
3,Grocery,SKU610997,20,18,34,Fri
13,Produce,SKU526465,5,3,16,Mon
3,Grocery,SKU281805,11,9,11,Mon
7,Produce,SKU414038,29,29,53,Wed
5,Produce,SKU361736,37,36,25,Fri
4,Bakery,SKU279412,28,26,36,Tue
14,Bakery,SKU390337,23,21,31,Tue
14,Grocery,SKU601602,23,23,27,Thu
7,Bakery,SKU474252,11,11,38,Sun
7,Frozen,SKU761843,36,36,17,Sun
11,Bakery,SKU561094,34,32,12,Thu
3,Frozen,SKU263335,4,4,48,Thu
9,Dairy,SKU704387,36,36,19,Sat
1,Bakery,SKU650298,20,19,46,Wed
6,Frozen,SKU327092,22,22,11,Sat
3,Produce,SKU558288,17,17,44,Mon
12,Dairy,SKU807134,17,16,30,Tue
9,Health & Beauty,SKU550504,29,29,35,Wed
14,Dairy,SKU883558,21,21,43,Tue
1,Dairy,SKU736164,19,17,25,Mon
4,Dairy,SKU998378,4,4,18,Thu
13,Bakery,SKU982191,35,35,42,Tue
18,Bakery,SKU676068,33,32,,Fri
4,Grocery,SKU462639,33,31,44,Thu
9,Bakery,SKU178209,8,8,25,Wed
17,Dairy,SKU990784,39,37,9,Fri
7,Health & Beauty,SKU271869,5,4,36,Sun
